date,value
2005-12-31,63.348
2006-03-31,65.920
2006-06-30,59.312
2006-09-30,66.231
2006-12-31,61.491
2007-03-31,67.799
2007-06-30,76.066
2007-09-30,77.790
2007-12-31,79.034
2008-03-31,80.493
2008-06-30,80.174
2008-09-30,77.314
2008-12-31,60.806
2009-03-31,54.212
2009-06-30,46.299
2009-09-30,48.830
2009-12-31,92.531
2010-03-31,111.471
2010-06-30,120.755
2010-09-30,144.917
2010-12-31,154.493
2011-03-31,157.161
2011-06-30,163.721
2011-09-30,166.430
2011-12-31,173.675
2012-03-31,185.684
2012-06-30,179.975
2012-09-30,170.009
2012-12-31,174.140
2013-03-31,178.781
2013-06-30,183.378
2013-09-30,214.944
2013-12-31,214.496
2014-03-31,269.716
2014-06-30,290.757
2014-09-30,275.286
2014-12-31,300.746
2015-03-31,230.934
2015-06-30,224.277
2015-09-30,215.265
2015-12-31,203.495
2016-03-31,203.805
2016-06-30,210.068
2016-09-30,201.507
2016-12-31,217.115
2017-03-31,229.442
2017-06-30,235.698
2017-09-30,259.700
2017-12-31,242.873
2018-03-31,258.084
2018-06-30,281.258
2018-09-30,298.345
2018-12-31,335.516
2019-03-31,336.322
2019-06-30,335.672
2019-09-30,333.599
2019-12-31,353.873
2020-03-31,344.699
2020-06-30,338.321
2020-09-30,335.558
2020-12-31,363.192
2021-03-31,408.976
2021-06-30,480.255
2021-09-30,504.189
2021-12-31,526.295
2022-03-31,518.915
2022-06-30,483.184
2022-09-30,457.357
2022-12-31,426.695
2023-03-31,428.285
2023-06-30,465.374
2023-09-30,487.200
2023-12-31,562.784
2024-03-31,584.267
2024-06-30,592.740
2024-09-30,572.996
2024-12-31,601.591
2025-03-31,632.810
2025-06-30,742.955
2025-09-30,738.297
